urban_population_rank,state,state_code,2020_urban_population,2020_percent_urban,synthetic_sampling_weight,calibration_median_household_income,under18_target,age65plus_target,bachelors_plus_target,foreign_born_target
1,California,CA,37259490,94.2366,0.15912763,100300,0.2220,0.1560,0.3700,0.2700
2,Texas,TX,24400697,83.7203,0.10421037,78000,0.2480,0.1360,0.3200,0.1700
3,Florida,FL,19714806,91.5342,0.08419789,74000,0.1940,0.2180,0.3400,0.2100
4,New York,NY,17665166,87.4459,0.07544430,85000,0.2060,0.1870,0.4000,0.2300
5,Illinois,IL,11137590,86.9275,0.04756636,83000,0.2180,0.1730,0.3800,0.1400
6,Pennsylvania,PA,9941070,76.4539,0.04245627,77000,0.2050,0.2000,0.3500,0.0800
7,Ohio,OH,9001099,76.2841,0.03844185,71000,0.2170,0.1890,0.3100,0.0500
8,New Jersey,NJ,8708779,93.7537,0.03719341,103000,0.2180,0.1770,0.4400,0.2300
9,Georgia,GA,7933986,74.0670,0.03388443,78000,0.2320,0.1530,0.3400,0.1100
10,Michigan,MI,7404258,73.4744,0.03162207,72000,0.2140,0.1950,0.3200,0.0700
11,North Carolina,NC,6964727,66.7159,0.02974492,76000,0.2230,0.1750,0.3600,0.0900
12,Virginia,VA,6528313,75.6345,0.02788108,90000,0.2150,0.1690,0.4200,0.1300
13,Washington,WA,6424035,83.3718,0.02743573,96000,0.2140,0.1710,0.4000,0.1500
14,Massachusetts,MA,6416895,91.2798,0.02740524,104000,0.1960,0.1810,0.4800,0.1700
15,Arizona,AZ,6385230,89.2852,0.02727001,77000,0.2250,0.1880,0.3300,0.1300
16,Maryland,MD,5288760,85.6171,0.02258721,101000,0.2240,0.1640,0.4300,0.1600
17,Colorado,CO,4966936,86.0267,0.02121276,93000,0.2110,0.1550,0.4500,0.1000
18,Indiana,IN,4829686,71.1763,0.02062660,71000,0.2300,0.1750,0.2900,0.0600
19,Tennessee,TN,4577282,66.2334,0.01954863,72000,0.2210,0.1770,0.3100,0.0600
20,Missouri,MO,4275663,69.4675,0.01826048,73000,0.2210,0.1820,0.3200,0.0500
21,Minnesota,MN,4101754,71.8787,0.01751775,85000,0.2300,0.1740,0.4000,0.0900
22,Wisconsin,WI,3953691,67.0831,0.01688540,76000,0.2160,0.1900,0.3200,0.0600
23,South Carolina,SC,3477869,67.9480,0.01485326,72000,0.2150,0.1920,0.3200,0.0600
24,Oregon,OR,3410984,80.4998,0.01456761,83000,0.2020,0.1960,0.3800,0.1000
25,Louisiana,LA,3332237,71.5417,0.01423130,60000,0.2330,0.1650,0.2700,0.0400
26,Connecticut,CT,3110153,86.2507,0.01328282,93000,0.2030,0.1960,0.4300,0.1500
27,Utah,UT,2937303,89.7814,0.01254462,96000,0.2820,0.1170,0.3800,0.0900
